target,ubicacionValida,longitudTweet,hashtagKey,entretenimiento,locationEnHashtag,SmoothKey,SmoothLocation,hashtagFreqEnc,relacion#longitud,relacion@longitud,relacionTodoLongitud,cantidadPalabras,SmoothCantPal,Smooth@y#,SmoothLongitud
1,0,7,1,0,0,0.42941308727585265,0.42459778930726416,0.0003940627873374491,1.4492753623188406,0.0,1.4492753623188406,6,0.49950690604434583,0.4022344018968713,0.359845753998534
1,0,4,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,4,0.38912591844587724,0.44378732863894055,0.24289655820104308
1,0,13,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,11,0.4290290531745937,0.44378732863894055,0.4370249731629653
1,0,6,1,0,0,0.42941308727585265,0.42459778930726416,0.00013135426244581636,1.5384615384615385,0.0,1.5384615384615385,5,0.4563681154424397,0.4022344018968713,0.3407617845328852
1,0,9,1,0,0,0.42941308727585265,0.42459778930726416,0.00013135426244581636,2.272727272727273,0.0,2.272727272727273,8,0.4642876322152056,0.4202840406997997,0.4839314256955503
1,0,11,1,0,0,0.42941308727585265,0.42459778930726416,0.00013135426244581636,2.727272727272727,0.0,2.727272727272727,8,0.4642876322152056,0.45279535458856673,0.4380242243938389
1,0,10,1,0,0,0.42941308727585265,0.42459778930726416,0.0003940627873374491,2.1052631578947367,0.0,2.1052631578947367,10,0.41292917292924264,0.4202840406997997,0.44709425606575215
1,0,6,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,5,0.4563681154424397,0.44378732863894055,0.3407617845328852
1,0,8,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,6,0.49950690604434583,0.44378732863894055,0.45444481759482636
1,0,5,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,4,0.38912591844587724,0.44378732863894055,0.31574273072158826
1,0,4,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,6,0.49950690604434583,0.44378732863894055,0.24289655820104308
1,0,13,1,0,0,0.42941308727585265,0.42459778930726416,0.00013135426244581636,0.7751937984496124,0.0,0.7751937984496124,8,0.4642876322152056,0.4022344018968713,0.4370249731629653
1,0,8,0,0,1,0.42941308727585265,0.42459778930726416,0.00013135426244581636,6.578947368421052,0.0,6.578947368421052,5,0.4563681154424397,0.4069819116528535,0.45444481759482636
1,0,4,0,0,0,0.42941308727585265,0.42459778930726416,0.00013135426244581636,5.128205128205128,0.0,5.128205128205128,2,0.3125609833962024,0.4202840406997997,0.24289655820104308
1,0,6,0,0,0,0.42941308727585265,0.42459778930726416,0.0002627085248916327,1.7857142857142856,0.0,1.7857142857142856,6,0.49950690604434583,0.4022344018968713,0.3407617845328852
0,0,1,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,1,0.2747971795396101,0.44378732863894055,0.3575454088111009
0,0,1,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,2,0.3125609833962024,0.44378732863894055,0.3575454088111009
0,0,2,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,2,0.3125609833962024,0.44378732863894055,0.29246396145122006
0,0,2,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,2,0.3125609833962024,0.44378732863894055,0.29246396145122006
0,0,3,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,0,0.4099656345814233,0.44378732863894055,0.2998691509462559
0,0,2,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,1,0.2747971795396101,0.44378732863894055,0.29246396145122006
0,0,2,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,1,0.2747971795396101,0.44378732863894055,0.29246396145122006
0,0,1,0,0,0,0.42941308727585265,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,2,0.3125609833962024,0.44378732863894055,0.3575454088111009
