ubicacionValida,longitudTweet,hashtagKey,entretenimiento,locationEnHashtag,SmoothKey,SmoothLocation,hashtagFreqEnc,relacion#longitud,relacion@longitud,relacionTodoLongitud,cantidadPalabras,SmoothCantPal,Smooth@y#,SmoothLongitud
0,3,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,4,0.38912591844587724,0.44378732863894055,0.2998691509462559
0,6,1,0,0,0.4283550783086739,0.42459778930726416,0.0003940627873374491,1.5625,0.0,1.5625,6,0.49950690604434583,0.4022344018968713,0.3407617845328852
0,10,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,9,0.46961890685197394,0.44378732863894055,0.44709425606575215
0,4,1,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,5.0,0.0,5.0,3,0.29444333211331153,0.4202840406997997,0.24289655820104308
0,4,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,3,0.29444333211331153,0.44378732863894055,0.24289655820104308
0,3,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,1,0.2747971795396101,0.44378732863894055,0.2998691509462559
0,7,0,1,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,6,0.49950690604434583,0.44378732863894055,0.359845753998534
0,2,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,0,0.4099656345814233,0.44378732863894055,0.29246396145122006
0,2,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,2,0.3125609833962024,0.44378732863894055,0.29246396145122006
0,1,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,1,0.2747971795396101,0.44378732863894055,0.3575454088111009
0,2,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,2,0.3125609833962024,0.44378732863894055,0.29246396145122006
0,3,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,0,0.4099656345814233,0.44378732863894055,0.2998691509462559
0,2,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,1,0.2747971795396101,0.44378732863894055,0.29246396145122006
0,1,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,0,0.4099656345814233,0.44378732863894055,0.3575454088111009
0,1,0,0,0,0.4283550783086739,0.42459778930726416,0.7688164980953632,0.0,0.0,0.0,1,0.2747971795396101,0.44378732863894055,0.3575454088111009
1,12,0,0,0,0.41151455327960684,0.3844518232982045,0.7688164980953632,0.0,0.0,0.8333333333333334,8,0.4642876322152056,0.44378732863894055,0.4437973916708462
0,5,0,0,0,0.41151455327960684,0.4126184961074968,0.7688164980953632,0.0,1.8518518518518516,1.8518518518518516,4,0.38912591844587724,0.4022344018968713,0.31574273072158826
0,11,0,0,0,0.41151455327960684,0.4126184961074968,0.7688164980953632,0.8928571428571428,0.0,1.7857142857142856,6,0.49950690604434583,0.4022344018968713,0.4380242243938389
0,11,0,0,0,0.41151455327960684,0.4126184961074968,0.0002627085248916327,0.8771929824561403,0.0,4.385964912280701,1,0.2747971795396101,0.4022344018968713,0.4380242243938389
